City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Date
Faanui,PF,-16.4833,-151.75,80.22,75,15,16.75,1651332108
Ulagan,RU,50.6321,87.9563,49.87,53,100,3.2,1651332108
Ubari,LY,26.5921,12.7805,99.66,5,0,15.35,1651332109
Hilo,US,19.7297,-155.09,73.27,97,75,4.61,1651331924
Talnakh,RU,69.4865,88.3972,13.95,95,90,6.89,1651332109
Barrow,US,71.2906,-156.7887,10.42,85,40,10.36,1651332002
Busselton,AU,-33.65,115.3333,56.7,82,0,5.82,1651332110
Ushuaia,AR,-54.8,-68.3,40.62,81,0,5.75,1651332011
Tiksi,RU,71.6872,128.8694,33.85,82,86,19.64,1651332111
Rikitea,PF,-23.1203,-134.9692,75.7,76,48,13.18,1651332111
Bikramganj,IN,25.2,84.25,84.61,48,33,28.1,1651332112
Cidreira,BR,-30.1811,-50.2056,66.58,64,50,12.01,1651332112
Ukiah,US,39.1502,-123.2078,59.38,83,0,0.0,1651331420
Bluff,NZ,-46.6,168.3333,57.22,73,84,19.95,1651332113
Arraial do Cabo,BR,-22.9661,-42.0278,76.96,78,75,9.22,1651332113
Torbay,CA,47.6666,-52.7314,41.29,95,100,6.91,1651331909
Banjar,ID,-8.19,114.9675,77.52,87,38,4.85,1651332114
New Norfolk,AU,-42.7826,147.0587,55.92,56,100,9.98,1651332114
Sisimiut,GL,66.9395,-53.6735,23.25,48,0,6.17,1651332115
Bundaberg,AU,-24.85,152.35,66.49,99,49,6.91,1651332115
Kisanga,TZ,-7.4362,37.7034,78.69,77,54,1.77,1651332116
Hobart,AU,-42.8794,147.3294,56.26,88,75,11.5,1651332018
Khatanga,RU,71.9667,102.5,10.44,97,46,5.46,1651332116
Rodolfo Sánchez Taboada,MX,31.7167,-116.5667,59.11,87,72,2.46,1651332117
Honiara,SB,-9.4333,159.95,78.21,86,94,0.72,1651332117
Puerto Ayora,EC,-0.7393,-90.3518,76.96,84,36,10.2,1651332118
Zhalantun,CN,48.0,122.7167,36.01,41,14,3.71,1651332118
Mataura,NZ,-46.1927,168.8643,48.16,90,79,4.21,1651332118
Gore,NZ,-46.1028,168.9436,47.1,91,83,3.44,1651332119
Atuona,PF,-9.8,-139.0333,77.95,77,54,13.58,1651332059
Hofn,IS,64.2539,-15.2082,47.53,75,10,11.59,1651331286
Dikson,RU,73.5069,80.5464,17.47,93,100,17.36,1651332002
Tuktoyaktuk,CA,69.4541,-133.0374,23.0,86,20,6.91,1651332120
Bethel,US,41.3712,-73.414,58.19,35,0,10.36,1651331973
Ilulissat,GL,69.2167,-51.1,23.02,42,20,9.22,1651331552
Saint Anthony,US,45.0205,-93.218,50.49,92,100,13.8,1651332120
Ponta do Sol,PT,32.6667,-17.1,77.72,53,0,0.96,1651332121
Amānganj,IN,24.4333,80.0333,99.18,11,17,10.2,1651332121
